,Name,Link,Image,Brand,Best price,Normal price,Type of product,Category,Description,Ingredients,Available,Date
1134,Miel de palma botella 330 g,https://www.santaisabel.cl/miel-de-palma-cocalan-botella-330-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/163607-750-750?width=750&height=750&aspect=true,Cocalan,NA,5099,Miel,Desayuno y Dulces,"Miel de Palma de Cocalán, múltiples premios en su nombre. Un producto de múltiples beneficios, como la sanidad urinaria, y el aporte de hierro, cobre, magnesio, fósforo, potasio, zinc y sodio.",NA,Yes,2022-09-26
1135,Chocolate de leche 200 g,https://www.santaisabel.cl/chocolate-de-leche-200-g-269094/p,https://santaisabel.vtexassets.com/arquivos/ids/180220-750-750?width=750&height=750&aspect=true,Toblerone,NA,4169,Chocolate Macizo,Desayuno y Dulces,"Toblerone está hecho con los más finos ingredientes del mundo, para así despertar tu gusto y sumergirte en una experiencia de sabor única. Delicioso chocolate de leche suizo con turrón de miel y almendras. Cada barra contiene 200g, producto libre de gluten y con certificación Kosher. Su forma triangular se adapta perfectamente para compartir en familia, con amigos o para regalar.",NA,Yes,2022-09-26
1136,Pack 6 un. Chocolate Fun Size 96 g,https://www.santaisabel.cl/barra-de-chocolate-rellena-snickers-bolsa-96-g-fun-size-caramelo-mani-y-nougat-1337109/p,https://santaisabel.vtexassets.com/arquivos/ids/195488-750-750?width=750&height=750&aspect=true,Snickers,NA,2049,Chocolate Macizo,Desayuno y Dulces,"Snickers es una barrita de chocolate elaborada y distribuida por Mars Incorporated. Tiene un relleno de nougat y mantequilla de maní con una cobertura de caramelo y cacahuetes troceados, cubierto con chocolate con leche. Está considerada como la chocolatina más vendida de todos los tiempos. Una bolsa de Snickers barras de chocolate perfectas para compartir con amigos y familia cuando necesites un snack para tus invitados con sabores Caramelo, Maní y Nougat. Snickers es una barrita de chocolate elaborada y distribuida por Mars Incorporated. Tiene un relleno de nougat y mantequilla de maní con una cobertura de caramelo y cacahuetes troceados, cubierto con chocolate con leche. Está considerada como la chocolatina más vendida de todos los tiempos. Una bolsa de Snickers barras de chocolate perfectas para compartir con amigos y familia cuando necesites un snack para tus invitados con sabores Caramelo, Maní y Nougat.",NA,Yes,2022-09-26
1137,Chicle sandía 80 g,https://www.santaisabel.cl/chicle-fini-sandia-80-g-1716202/p,https://santaisabel.vtexassets.com/arquivos/ids/190822-750-750?width=750&height=750&aspect=true,Fini,NA,1029,NA,Desayuno y Dulces,"La forma de masticar chicle con Fani sabor sandía cambio, estas divertidas y pequeñas formas hacen un simple acto se convierta en una diversión.",NA,Yes,2022-09-26
1138,Tabletas Rocklets 140 g,https://www.santaisabel.cl/tabletas-rocklets-140-g-1575631/p,https://santaisabel.vtexassets.com/arquivos/ids/164885-750-750?width=750&height=750&aspect=true,Arcor,NA,1429,Chocolate Macizo,Desayuno y Dulces,"Fantásticas Tabletas Rocklets 140 g, geniales para degustarlas en toda ocasión. Compártelas con amigos y familiares.",NA,Yes,2022-09-26
1139,"Gomitas Merello 250 g, italina",https://www.santaisabel.cl/gomitas-merello-250-g-italina/p,https://santaisabel.vtexassets.com/arquivos/ids/164081-750-750?width=750&height=750&aspect=true,Merello,NA,1569,Gomitas,Desayuno y Dulces,Rico y Delicioso surtido de gomitas italina Merello con sabor a fruta. Libre de Lactosa. Ideal para degustar en la tarde y compartir con amigos. Rico y Delicioso surtido de gomitas italina Merello con sabor a fruta. Libre de Lactosa. Ideal para degustar en la tarde y compartir con amigos.,NA,Yes,2022-09-26
1140,Té english breakfast 8 bolsitas,https://www.santaisabel.cl/te-english-breakfast-8-bolsitas-1786251/p,https://santaisabel.vtexassets.com/arquivos/ids/177220-750-750?width=750&height=750&aspect=true,English Tea Shop,NA,1399,Té Negro,Desayuno y Dulces,"El Té English Breakfast de English Tea Shop es una mezcla del mejor té negro de Ceilán y Assam para un sabor fuerte y completo para comenzar el día. ¡El té de todos los tés! ¡Nos encanta y creemos que lo harás!
Su planta de fabricación de té está ubicada en el corazón de Sri Lanka, lo que les permite confiar en tradiciones ancestrales que, durante siglos, han producido los mejores tés del mundo. El Té English Breakfast de English Tea Shop es una mezcla del mejor té negro de Ceilán y Assam para un sabor fuerte y completo para comenzar el día. ¡El té de todos los tés! ¡Nos encanta y creemos que lo harás!",NA,Yes,2022-09-26
1141,Galletas Voglie surtido 300 g,https://www.santaisabel.cl/galletas-vicenzi-bolsa-300-g-surtidas/p,https://santaisabel.vtexassets.com/arquivos/ids/163575-750-750?width=750&height=750&aspect=true,Vicenzi,NA,3599,Galletas Importadas,Desayuno y Dulces,"Refinada y apetitosa selección de Galletas Voglie surtido 300 g, perfectas para disfrutar dónde y cuándo quieras. Producidas con deliciosos y los más selectos ingredientes. Origen de producción: Italia",NA,Yes,2022-09-26
1142,Galletas mantequilla 135 g,https://www.santaisabel.cl/galletas-dos-en-uno-135-g-sabor-mantequilla-2/p,https://santaisabel.vtexassets.com/arquivos/ids/169116-750-750?width=750&height=750&aspect=true,Dos En Uno,NA,649,Galletas Tradicionales,Desayuno y Dulces,"Dos en Uno trae un sabor clásico si hablamos de galletas. Simples pero exquisitas galletas de mantequilla, snack ideal para cualquier momento del día.",NA,Yes,2022-09-26
1143,Caramelo Wild Berry 62 g,https://www.santaisabel.cl/caramelo-skittles-wild-berry-single-62-g-1224547/p,https://santaisabel.vtexassets.com/arquivos/ids/195489-750-750?width=750&height=750&aspect=true,Skittles,NA,950,Caramelos,Desayuno y Dulces,"Un arcoíris de sabores berrys dan sabor a este maravilloso mix! Frambuesa azul, cereza salvaje, fresa, berry punch y melon berry son los exóticos sabores de esta edición de Skittles. Un arcoíris de sabores berrys dan sabor a este maravilloso mix! Frambuesa azul, cereza salvaje, fresa, berry punch y melon berry son los exóticos sabores de esta edición de Skittles.",NA,Yes,2022-09-26
1144,Galletas limón 135 g,https://www.santaisabel.cl/galletas-dos-en-uno-135-g-sabor-limon-2/p,https://santaisabel.vtexassets.com/arquivos/ids/163554-750-750?width=750&height=750&aspect=true,Dos En Uno,NA,649,Galletas Tradicionales,Desayuno y Dulces,"Las clásicas galletas Dos en Uno sabor limón nunca pasan de moda. Un sabor tradicional para los chilenos, listo para disfrutar en cualquier momento.",NA,Yes,2022-09-26
1145,Chocolate Trencito Galletas 120g,https://www.santaisabel.cl/chocolate-entrete-galletas-120-g-1807040/p,https://santaisabel.vtexassets.com/arquivos/ids/177380-750-750?width=750&height=750&aspect=true,Trencito,2739,NA,Chocolate Macizo,Desayuno y Dulces,"Chocolate Trencito Entrete Galletas, tu chocolate Trencito de siempre ahora con una entretenida inclusión de crujientes galletas Formato 120g",NA,Yes,2022-09-26
