,Name,Link,Best price,Normal price,Type of product,Description,Ingredients,Available
397,Hamburguesa de vacuno bacon 100 g,https://www.jumbo.cl/hamburguesa-de-vacuno-receta-del-abuelo-100-g-bacon-2/p,NA,$1.099,Hamburguesas de Vacuno,"Hamburguesa de Vacuno Bacon 100 g
Las exquisitas Hamburguesas de Vacuno Receta del Abuelo Bacon son elaboradas a partir de carne de vacuno. Suavemente condimentada, es formada y rápidamente congelada. Como todo producto cárnico, se recomienda consumir bien cocido.","Carne de vacuno,  Agua,  Sal,  Eritorbato de sodio,  Azúcar,  Fibras vegetales,  Goma guar,  Maltodextrina,  Glutamato monosódico,  Saborizantes naturales,  Saborizantes idénticos a natural,  Cebolla,  Pimienta negra,  Ajo,  Polifosfato de sodio,  Polifosfato de potasio,  Aromatizante idéntico a natural,  Aromatizante artificial,  Aromatizante natural,  Dióxido de silicio amorfo,  Bha,  Bht,  Goma arábiga,  Inosinato de sodio,  Guanilato de sodio,  Color caramelo",1
398,Camote Sabor Peruano 500 g,https://www.jumbo.cl/camote-sabor-peruano-500-g-congelado-2/p,NA,$2.149,Zapallo Camote,"Camote Sabor Peruano congelado 500 g
Su color anaranjado profundo es más que simplemente diferente a la papa blanca; es una de las indicaciones del beta-caroteno presente. Dos enzimas antioxidantes fundamentales en los camotes son superóxido dismutasa cobre/zinc y catalase. Producto certificado Kosher.",Camote,1
399,Frambuesas 400 g,https://www.jumbo.cl/frambuesas-minuto-verde-bolsa-400-g-congelado-2/p,NA,$5.690,Mix de Frutas,"Frambuesas 400 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Frambuesas,1
400,Humitas 4 un.,https://www.jumbo.cl/humitas-frutos-del-maipo-bolsa-4-unid-congelado/p,NA,$5.690,Humitas,"La mejor receta de humitas para que puedas sorprender a tu familia y amigos. Listas en 20 minutos, contiene 4 porciones aprox.
Frutos del Maipo, es la mejor alternativa en frutas y hortalizas congeladas debido a que respetan y se preocupan por el medioambiente; Además se aseguran de que los productos cumplan con los más altos estándares de calidad.","Choclo,  Cebolla,  Aceite de soya líquido,  Manteca de palmiste,  Manteca de soya hidrogenado e interesterificado,  Propilenglicol,  Tbhq,  ácido cítrico,  Agua,  Sal,  Almidón de maíz,  Albahaca seca,  Pimentón en polvo,  Almidón de papa,  Leche (lactosa)",1
401,Lomitos fiesta 900 g,https://www.jumbo.cl/lomito-fiesta-super-cerdo-envase-900-g-2/p,NA,$9.549,Lomitos de Cerdo,"Lomitos Fiesta de Super Cerdo, fáciles de preparar a la plancha o al agua. Carne de pierna de cerdo marinada.","Carne de cerdo,  Agua,  Sal,  Tetrapirofosfato de potasio,  Cloruro de potasio,  Dextrosa,  Carragenina,  Eritorbato de sodio,  Hexametafosfato de sodio,  Saborizantes naturales,  Tetrapirofosfato de sodio,  ácido tartárico,  Dióxido de sílice",1
402,Churrasco de Wagyu Mollendo 135 g,https://www.jumbo.cl/churrasco-de-wagyu-mollendo-envase-135-g-congelado/p,NA,$2.569,Churrascos de Vacuno,"Carne originaria de Kobe, Japón, caracterizada por su increíble infiltración de grasa y textura superior a otras razas de animal.Deliciosos churrascos, hechos exclusivamente de carne de Wagyu. Seguramente será el mejor sánguche de tu vida.
Formato congelado, 3 láminas, 135g en total.","Carne de vacuno wagyu,  Agua,  Proteína de soya,  Sal,  Dextrosa,  Polifosfatos de sodio,  Proteína animal,  Eritorbato de sodio,  Citrato de sodio,  Goma de celulosa",1
403,Arrollado primavera de cerdo 400 g,https://www.jumbo.cl/arrollado-primavera-alimentos-shen-bolsa-400-g-10-unid-congelado-de-cerdo-2/p,NA,$3.499,Arrollado Artesanal,"Arrollado primavera de cerdo 400 g, perfecto para tus preparaciones favoritas. Ideal para compartir con familiares o amigos en una rica comida.","Carne de cerdo,  Repollo,  Tocino,  Harina de trigo,  Zanahoria,  Fideo de poroto verde,  Aceite vegetal,  Jengibre,  Salsa de soya,  Ajo,  Sal,  Pimienta,  Glutamato de sodio",1
404,Sucedáneo chorizo 216 g,https://www.jumbo.cl/sucedaneo-chorizo-pow-foods-216-gr-1928265/p,NA,$4.490,Chorizo Sucedáneo,"El Chorizo POW! tiene un sabor increíble y además es el más nutritivo que encontrarás en tu vida porque es 0% colesterol, bajo en grasa y 100% vegetal. Repite tus preparaciones favoritas cuantas veces quieras sin preocupaciones con POW!",NA,1
405,Vegetal Burger porotos negros 100 g,https://www.jumbo.cl/vegetal-burger-porotos-negros-rda-100g-1934636/p,NA,$1.190,Hamburguesas de Legumbres,NA,NA,1
406,Tiramisú Excellence 2 un. 80 g,https://www.jumbo.cl/tiramisu-excellence-2x80g-1918043/p,NA,$2.599,Postres Únicos/Especiales,Encuentra Tiramisú Excellence 2 un. 80 g y toda la variedad de productos Excellence navegando en nuestro sitio web.,NA,1
407,Lemoncello Excellence 2 un. 75 g,https://www.jumbo.cl/lemoncello-excellence-2x75g-1918046/p,NA,$2.599,Postres Únicos/Especiales,Encuentra Lemoncello Excellence 2 un. 75 g y toda la variedad de productos Excellence navegando en nuestro sitio web.,NA,1
408,Helado Disfrutti Manzana Naranja y Frutilla 6x50g,https://www.jumbo.cl/hel-mpack-disfrutti-6x50gr-1921115/p,NA,$3.590,Helados de Leche,"Helado Disfrutti , ¡La nueva entretenida forma de comer fruta! Refrescante helado de Sherbet, con forma de brocheta de fruta, donde encontrarás una manzana, una frutilla y naranja. Sin sellos y sin colorantes artificiales.  Multipack de 6x50g","Agua,  Agente de relleno eritritol,  Agente de relleno polidextrosa,  Azúcar,  Suero de leche en polvo,  Leche descremada en polvo,  Espesante goma garrofín,  Espesante goma guar,  Aceite de palma,  Regulador de acidez ácido cítrico,  Emulsionante mono y diglicéridos de ácidos grasos,  Colorante natural carmín de cochinilla,  Colorante natural complejo cúprico de clorofilina,  Sales de sodio,  Sales de potasio,  Colorante natural curcumina,  Colorante natural annato,  Saborizante idéntico a natural,  Saborizante natural,  Edulcorante estevia,  Leche",1
409,Pack 4 un. Helado pistacho 60 ml,https://www.jumbo.cl/hel-anhelado-mpack-pistacho-4unx60ml-1905726/p,$4.490,$5.699,1 año,"Gelato artesanal premium Anhelado de pistacho. A base de leche entera, crema de leche y pistachos italianos. Producto sin ingredientes con gluten. Empaque ecofriendly",NA,1
410,Helado Carte D'or Signature chocolate 900 ml,https://www.jumbo.cl/hel-carte-dor-signat-chocolate-900ml-1927063/p,NA,$4.869,Helados Mix Sabores,La mejor opción para el postre. Delicioso helado Signature con sabor a chocolate con chips. Contiene 900 ml.,NA,1
411,Helado Savory El Manjar De Nestle Multipack 6X50ml,https://www.jumbo.cl/helado-multipack-el-manjar-50-ml-6-un-1921114/p,NA,$3.490,Helados de Leche,"Es un exquisito helado de leche, con el incomparable sabor a manjar NESTLÉ, y con una deliciosa salsa del mismo manjar para deleitar en todas partes","Agua,  Azúcar,  Leche semi descremada en polvo,  Leche entera en polvo,  Leche descremada en polvo,  Jarabe de glucosa,  Preservante sorbato de potasio,  Regulador de acidez bicarbonato de sodio,  Espesante agar,  Regulador de acidez ortofosfato disódico,  Mantequilla,  Espesante goma guar,  Espesante carragenina,  Espesante goma garrofín,  Colorante caramelo,  Saborizante idéntico a natural,  Emulsionante mono y diglicéridos de ácidos grasos,  Leche",1
412,Helado pistacho 550 g,https://www.jumbo.cl/hel-emp-la-rosa-pistacho-550gr-1923682/p,NA,$7.390,Helados de Leche,NA,"Agua,  Azúcar,  Leche entera en polvo,  Pistachos,  Aceite vegetal,  Sal,  Extracto vegetal,  Emulsificante lecitina de soya,  Colorante azul brillante fcf,  Antioxidante alfa - tocoferol,  Mantequilla sin sal,  Crema de leche,  Leche descremada en polvo,  Dextrosa,  Azúcar invertido,  Estabilizante mono y diglicéridos de ácidos grasos,  Emulsificante mono y diglicéridos de ácidos grasos,  Goma guar,  Monooleato de sorbitán polioxietilenado,  Carragenina,  Alginato de sodio,  Leche,  Soya",1
413,Helado multipack Calippo frutilla y limón 110 g,https://www.jumbo.cl/hel-bresler-mpk-calippo-frutill-5unx110g-1898147/p,$3.102,$3.650,Helados de Agua,"Helado de agua sabor a limón y helado de agua sabor a frutilla, libres de gluten. El clásico y refrescante sabor de Calippo. Contiene 110 g.",NA,1
414,Helado vegano mango maracuyá 315 g,https://www.jumbo.cl/hel-vegano-live-green-mango-maracuy-315g-1898349/p,NA,$3.990,Helados Mix Sabores,Helado de crema vegano sabor mango maracuyá. Producto sin leche y sin aditivos. Contiene 315 g. ¡Totalmente irresistible!,"Agua,  Semillas de maravillas,  Alulosa,  Mango,  Maracuyá,  Aceite de maravillas,  Proteína de arvejas,  Fibra de arvejas,  Palta,  Plátano,  Linaza,  Chía,  Azúcar rubia,  Sal de mar",1
415,Helado vegano mora a la crema 315 g,https://www.jumbo.cl/hel-vegano-live-green-mora-a-la-cre-315g-1898350/p,NA,$3.990,Helados Mix Sabores,Helado de crema vegano sabor mora a la crema. Producto sin leche y sin aditivos. Contiene 315 g. ¡Totalmente irresistible!,"Agua,  Semillas de maravillas,  Alulosa,  Mora,  Aceite de maravilla,  Proteína de arvejas,  Fibras de arvejas,  Palta,  Plátano,  Linaza,  Chía,  Azúcar rubia,  Vainilla,  Sal de mar",1
416,Helado vegetal cheesecake 298 g,https://www.jumbo.cl/hel-not-icecream-cheesecake-298g-1892358/p,NA,$4.190,Helados Mix Sabores,"Cremoso como ninguno, delicioso, se derrite y hasta te congela el cerebro como un helado de leche, pero está hecho de plantas. Por eso decimos que es helado pero NOT. Sin colesterol, lactosa, transgénicos, huevos, ni soya. Procesada en líneas que puede contener trazas de leche.","Agua,  Frambuesa,  Azúcar,  Manteca de coco,  Jarabe de glucosa,  Harina de arroz,  Aceite vegetal de girasol,  Azúcar flor,  Harina de almendra,  Saborizante natural,  Sal,  Proteína de arveja,  Fibra de achicoria,  Goma de acacia,  Goma guar,  Goma semilla de algarrobo,  Saborizante idéntico a natural,  Saborizantes naturales,  ácido láctico,  ácido cítrico",1
417,Mechada vegana 250 g,https://www.jumbo.cl/mechada-veg-meatless-250g-1884819/p,NA,$4.690,Hamburguesas de Verduras,Deliciosas y suaves hilos de mechada Meatless. Cualquier sándwich sería afortunado de contar con este ingrediente magnífico.,"Agua,  Cebolla,  ácido cítrico,  Tomates frescos y concentrados al vacío,  Sorbato de potasio,  Benzoato de sodio,  Proteína de trigo,  Proteína de arveja,  Zanahoria,  Saborizante idéntico al natural,  Color caramelo,  Gluten",1
418,Helado multipack Minions 18 un.,https://www.jumbo.cl/hel-trendy-mpack-minions-18un-1895132/p,$3.824,$4.499,Helados Mix Sabores,Helado multipack de agua con sabores frutales y todo el color de Minions. Consigue y colecciona los 50 tatuajes o stickers coleccionables. Contiene 18 unidades.,NA,1
419,Helado multipack Love Lemon 8 un.,https://www.jumbo.cl/hel-trendy-mpack-love-lemon-8un-1895133/p,$3.739,$4.399,Helados Mix Sabores,Helado multipack Love Lemon con sabores pink y limón. Un delicioso helado de agua con todo el sabor de las limonadas Love Lemon. Contiene 8 unidades.,"Agua,  Polidextrosa,  Azúcar,  Jarabe de glucosa,  ácido cítrico,  Saborizantes idéntico a natural,  Goma de semilla de algarrobo,  Goma xantana,  Sucralosa,  Acesulfamo potásico,  Colorante artificial azorrubina,  Colorante artificial tartrazina,  Colorante artificial azul brillante fcf",1
420,Helado brownie vainilla 2.5 L,https://www.jumbo.cl/hel-trendy-brownie-vainilla-2-5-lts-1895131/p,NA,$5.190,Helados de Leche,Helado brownie vainilla cassata Trendy 2.5 L. Delicioso helado sabor chocolate vainilla con salsa de chocolate y trozos de brownie. Para disfrutar sólo o en compañía.,"Agua,  Azúcar (contiene sulfito),  Manteca de palma fraccionada,  Aceite de soya,  Azúcar,  Leche entera en polvo,  Cacao en polvo,  Almidón modificado,  Carragenina,  Aromatizante vainillina,  Sorbato de potasio,  Sal,  Suero de leche,  Jarabe de glucosa,  Leche descremada en polvo,  Leche descremada,  Maltodextrina,  Concentrado proteico de suero,  Harina de trigo (gluten),  Aceite de maravilla,  Huevo entero,  Jarabe de arroz,  Almidón,  Saborizante natural,  Bicarbonato de sodio,  Mono y diglicéridos de ácidos grasos,  Cmc,  Goma guar,  Colorante caramelo iv-proceso al sulfito amónico,  Saborizantes artificiales,  Saborizante idéntico a natural,  Colorante artificial tartrazina,  Colorante artificial amarillo ocaso",1
421,Helado alto en proteínas chocolate 349 g,https://www.jumbo.cl/hel-protein-ice-alt-en-prot-coc-chi-349g-1871737/p,NA,$5.199,Helados Mix Sabores,Fantástico y delicioso Helado con alto contenido proteico. Ideal para disfrutarlo con tus seres queridos en toda ocasión.,NA,1
422,Bombón Helado Savory Pura Fruta Frambuesa Chocolate amargo 225ml,https://www.jumbo.cl/bombon-pura-fruta-framb-chocolate-225ml-1893420/p,NA,$3.250,Helados con Frutas,"Bombón helado Pura Fruta Frambuesa cubierto con Chocolate amargo, exquisitos bombones de helado de frambuesa cubierto con un delicioso chocolate amargo con 60% Cacao. Es un producto apto para Vegetarianos y Veganos. Formato 225ml","Sólidos de cacao,  Manteca de cacao,  Cacao en polvo,  Azúcar,  Emulsionante lecitina de girasol,  Agua,  Pulpa de frambuesa,  Pulpa manzana,  Jugo de uva,  Agente de relleno polidextrosa,  Aceite de palma,  Espesante goma guar,  Espesante goma garrofín,  Saborizante natural,  Regulador de acidez ácido cítrico",1
423,Helado Savory Pura Fruta Frambuesa Chocolate amargo Paleta Multipack 6x50ml,https://www.jumbo.cl/helado-m-pack-pf-framb-chocolate-6x50ml-1893419/p,NA,$4.150,Helados con Frutas,"Helado Pura Fruta Frambuesa cubierto con Chocolate amargo, paletas de helado de agua con pulpa de frambuesa cubierto con un delicioso chocolate amargo 60% Cacao. Este producto es apto para Vegetarianos y Veganos. Formato multipack 6 unidades de 50ml","Manteca de cacao,  Cacao en polvo,  Azúcar,  Lecitina de girasol,  Agua,  Pulpa de frambuesa,  Pulpa de manzana,  Jugo de uva,  Polidextrosa,  Aceite de palma,  Goma guar,  Goma garrofín,  Saborizante natural,  ácido cítrico",1
424,Mini Hamburguesas de arvejas 300 g,https://www.jumbo.cl/mini-hamburguesas-arveja-min-verde-300gr-1892474/p,NA,$2.190,Hamburguesas de Verduras,Deliciosas Mini Hamburguesas en base a vegetales e ingredientes 100% naturales. Ideal para consumir como acompañamiento o como snack a toda hora.,"Arveja,  Harina de avena,  Cebolla cubo,  Zanahoria cubo,  Pimentón cubo,  Ajo cubo,  Cloruro de sodio,  Aceite de soya,  Aceite de maravilla,  Pimienta,  Gluten de avena,  Soya",1
425,Helado multipack Suny 350 ml,https://www.jumbo.cl/helado-multipack-bresler-suny-5x70ml-1893751/p,$3.314,$3.899,Helados Mix Sabores,Disfruta de uno de los confites más clásicos: los tradicionales Suny. Deleita tu paladar con estas deliciosas calugas. ¡Para comer en cualquier momento!,"Agua,  Azúcar,  Grasa de palma refinada interesterificada,  Bht,  Leche descremada en polvo,  Suero de leche en polvo,  Jarabe de glucosa,  Maltodextrina,  Mono y diglicéridos de ácidos grasos,  Saborizante artificial,  Goma de semillas de algarrobo,  Goma guar,  Colorante caramelo iv,  Annato,  Carmín de cochinilla,  Leche",1
426,Pastel de choclo vegetariano 500 g,https://www.jumbo.cl/pastel-de-choclo-veg-cuk-500g-1885725/p,NA,$7.250,Pasta de Choclo,Delicioso sabor. Elaborado con frescos y ricos ingredientes. Ideal para compartir un rico almuerzo familiar.,"Champiñón,  Cebolla,  Agua,  Proteína de soya texturizada,  Aceite de maravilla 100% refinado,  Antioxidante terbutil hidroquinona,  Antiespumante polidimetilsiloxano,  Sal,  Orégano,  Pimentón,  Ajo,  Cilantro,  Comino,  Pimienta,  Laurel,  Choclo,  Choclo grano,  Aceite de maravilla,  ácido cítrico,  Dimetilpolisiloxano,  Albahaca,  Almidón de maíz modificado,  Zanahoria,  Pimienta negra,  Cúrcuma,  Canela,  Jengibre,  Pimientas,  Albahaca molida,  Soya",1
427,Helado vegano choco chips 315 g,https://www.jumbo.cl/hel-vegano-live-green-choco-chips-315gr-1862156/p,NA,$3.999,Helados Mix Sabores,Helado de crema vegano sabor choco chips. Producto sin leche y sin aditivos. ¡Totalmente irresistible!,"Agua,  Semillas de maravilla,  Alulosa,  Pasta de cacao,  Manteca de cacao,  Azúcar de caña,  Aceite de maravilla,  Cacao,  Palta,  Plátano,  Linaza,  Chía,  Azúcar rubia,  Sal de mar",1
428,Helado Protein+ guaraná mix berries 800 ml,https://www.jumbo.cl/helado-protein-yogen-fruz-guarana-mix-berries-800-ml-caja-8-un-1871327/p,NA,$6.750,Helados Mix Sabores,"Línea alta en proteínas, aportan 9grs de proteína por porción, lo que representa un 18% de la dosis diaria recomendada.  Mezclas de sabor y frescura de guaraná, frambuesa y arandanos. Sin lactosa, sin azúcar añadida, bajo en grasas y libre de gluten.","Agua,  Leche entera,  Enzima lactasa,  Cultivos lácteos,  Leche descremada en polvo,  Arándanos,  Frambuesas,  Concentrado de proteína de suero,  Jarabe de maltitol,  ácido cítrico,  Estabilizante mono y diglicéridos,  Estabilizante goma guar,  Estabilizante carboximetilcelulosa,  Estabilizante carragenina,  Colorante natural ácido carmínico,  Colorante natural carmín,  Saborizante natural guaraná,  Extracto natural guaraná,  Stevia,  Sucralosa,  Leche (caseína)",1
429,Pack 4 un. Helado vainilla crocante 60 ml c/u,https://www.jumbo.cl/hel-mpack-emp-la-rosa-vaini-croca-4x60ml/p,NA,$5.190,Helados Mix Sabores,"Fantástico Pack 4 un. Helado vainilla crocante 60 ml, ideal para tus preparaciones favoritas. Perfecto para disfrutar un rico postre en familia o amigos.","Agua,  Azúcar,  Pasta de cacao,  Leche en polvo,  Manteca de cacao,  Suero de leche,  Proteínas lácteas concentradas,  Aceite vegetal fraccionado de shea,  Aceite vegetal fraccionado de palma,  Cacao en polvo,  Lecitina de soya,  Saborizantes artificiales,  Materia grasa vegetal no hidrogenada de coco,  Cacao desgrasado en polvo,  Emulsionante lecitina de soya,  Saborizante idéntico a natural,  Mantequilla,  Leche entera en polvo,  Leche descremada en polvo,  Harina de trigo,  Aceite de palma fraccionado,  Margarina de repostería,  Color caramelo,  Jarabe de fructosa,  Bicarbonato de sodio,  Sal,  Almidón de maíz,  Bicarbonato de amonio,  Fosfato monocálcico,  Huevos,  Dextrosa,  Glucosa,  Leche concentrada azucarada,  Vainilla,  Aromatizantes naturales,  Aromatizantes naturales de vainilla,  Aromatizantes idéntico a los naturales de vainilla,  Almidón modificado,  Caramelo de azúcar,  ácido cítrico,  Mono y diglicérido de ácidos grasos,  Goma guar,  Monooleato de sorbitan polioxietilenado,  Carragenina,  Alginato de sodio,  Leche,  Soya,  Huevo,  Gluten",1
430,Pack 4 un. Helado chocolate araucano 60 ml c/u,https://www.jumbo.cl/hel-mpack-emp-la-rosa-choco-arauc-4x60ml/p,NA,$5.190,Helados Mix Sabores,"Fantástico Pack 4 un. Helado chocolate araucano 60 ml, ideal para tus preparaciones favoritas. Perfecto para disfrutar un rico postre en familia o amigos.","Agua,  Azúcar,  Pasta de cacao,  Leche en polvo,  Manteca de cacao,  Suero de leche,  Proteínas lácteas concentradas,  Aceite vegetal fraccionado de shea,  Aceite vegetal fraccionado de palma,  Cacao en polvo,  Lecitina de soya,  Saborizantes artificiales,  Materia grasa vegetal no hidrogenada de coco,  Saborizante idéntico a natural,  Leche entera en polvo,  Dextrosa,  Leche descremada en polvo,  Mantequilla,  Licor araucano,  Mono y diglicéridos de ácidos grasos,  Goma guar,  Monooleato de sorbitan polioxietilenado,  Carragenina,  Alginato de sodio,  Leche,  Soya",1
431,Smoothie Immunity 500 g,https://www.jumbo.cl/smoothie-immunity-frutos-del-maipo-500g-1866932/p,$3.390,$4.090,Mix Smoothie Rosa,"Mix de mandarina, zanahoria, piña, manzana verde y jengibre. Una mezcla de ingredientes naturales que por cada porción aporta una excelente fuente de vitamina C. En cada smoothie encontrarás 4 bolsitas de 125 g que puedes mezclar con 200 ml de agua, jugo o leche.","Mandarina,  Zanahoria,  Piña,  Manzana verde,  Jengibre,  ácido cítrico,  ácido ascórbico",1
432,Barra chocolate leche condensada 282 g,https://www.jumbo.cl/barra-chocolate-leche-condensada-6-x-47-g-1866844/p,$2.830,$3.329,Helados Con Salsas,Con Guallarauco comer fruta es entretenido. Disfruta una nueva forma de comer fruta y déjate tentar por lo natural.,"Agua,  Leche parcialmente descremada,  Azúcar,  Jarabe de glucosa,  ácido cítrico,  Saborizante idéntico al natural,  ácido láctico,  Sorbato de potasio,  Alginato de sodio,  Sal,  Goma xantán,  Leche descremada en polvo,  Crema de leche,  Mono y diglicéridos de ácidos grasos,  Carragenina,  Pasta de cacao,  Manteca de cacao,  Lecitina (soya),  Poliricinoleato de poliglicerol,  Saborizante idéntico a natural,  Cacao en polvo,  Aceite vegetal de palma,  Estabilizante mono y diglicéridos de ácidos grasos,  Estabilizante goma guar,  Estabilizante polisorbato 80,  Estabilizante carragenina,  Leche (caseína)",1
433,Nuggets veganos 400 g,https://www.jumbo.cl/nuggets-tivoni-400g-1865637/p,$3.890,$4.850,Hamburguesas de Verduras,"Ingredientes > Garbanzos, cebolla, sal yodada, harina de maíz sin gluten, kétchup (concentrado de tomates, jarabe de maíz, vinagre, sal, cebolla en polvo, especias (clavo de olor, canela, nuez moscada, pimientos de Jamaica y pimienta cayena)","Garbanzos,  Concentrado de tomate,  Jarabe de maíz de alta fructosa,  Jarabe de maíz,  Vinagre,  Sal,  Cebolla en polvo,  Clavo de olor,  Canela,  Nuez moscada,  Pimienta de jamaica,  Pimienta de cayena,  Harina de maíz,  Cebolla,  Agua de garbanzo",1
434,Helado Frac vainilla multipack 5 un. 70 ml c/u,https://www.jumbo.cl/hel-bresler-mpack-frac-vainilla-5x70ml-1862146/p,$3.374,$3.969,Helados de Leche,Helado de leche sabor chocolate con cobertura de chocolate y trocitos de galleta. Prueba esta nueva versión de las galletas Frac en formato de helado!,"Agua,  Azúcar,  Grasa de palmiste,  Bht,  ácido cítrico,  Manteca de cacao,  Leche en polvo,  Pasta de cacao,  Lactosa,  Lecitina de soya,  Suero de leche en polvo,  Harina de trigo (contiene gluten),  Cacao,  Jarabe de arroz,  Sal,  Bicarbonato de sodio,  Saborizante natural,  Leche descremada en polvo,  Grasa de palmiste fraccionado e interesterificado,  Jarabe de glucosa,  Grasa de palma,  Mono y diglicéridos de ácidos grasos,  Goma de semilla de algarrobo,  Saborizantes idénticos al natural,  Goma guar,  Carragenina,  Gluten",1
435,Helado merengue lúcuma 900 ml,https://www.jumbo.cl/helado-merengue-lucuma-900-ml-1865075/p,NA,$5.499,Helados Mix Sabores,"Helado de crema con deliciosas lúcumas naturales y trozos de merengue artesanal. Disfruta de los originales sabores de Bravissimo, el helado favorito de las familias chilenas.","Leche entera reconstituida,  Crema larga vida uht,  Azúcar granulada,  Lúcuma en pulpa,  Leche descremada,  Dextrosa,  Huevos,  Azúcar,  Estabilizante mono y di glicéridos,  Estabilizante goma guar,  Estabilizante polisorbato 80,  Estabilizante carragenina,  Proteína de leche,  Derivados lácteos,  Huevo",1
436,Helado banana split 900 ml,https://www.jumbo.cl/helado-banana-split-900-ml-1865074/p,NA,$5.499,Helados Mix Sabores,"Delicioso helado de crema elaborado en base a plátano natural, manjar y chocolate granizado. Disfruta de los originales sabores de Bravissimo, el helado favorito de las familias chilenas.","Leche entera reconstituida,  Plátano,  Azúcar granulada,  Crema larga vida,  Manjar heladero,  Aceite vegetal,  Cacao en polvo,  Lecitina de soya,  Saborizante,  Dextrosa,  Malto dextrina,  Mono y di glicéridos,  Goma guar,  Polisorbato 80,  Carragenina,  Proteína de leche,  Derivados lácteos",1
437,Pizza multigrano congelada 510 g,https://www.jumbo.cl/pizza-multigrano-cong-rda-510g-1864431/p,NA,$4.790,Pizza Vegetariana,"La deliciosa Pizza Receta del Abuelo es una clásica para consumir en cualquier ocasión. Con una crujiente masa elaborada con harina de calidad, sabroso queso y con exquisitos trozos de panceta de cerdo. Disfrútela en cualquier momento del día.","Harina integral (gluten),  Queso mozzarella (leche),  Agua,  Tomates,  Espárragos,  Salsa de tomates,  Cebolla,  Aceite de soya,  Quinoa,  Sal,  Semillas de linaza,  Semillas de calabaza,  Azúcar,  Semillas de maravilla,  Cebada,  Avena,  Semillas de amapola,  Chía,  Aceite de oliva,  Aceite maravilla,  Aceite de canola,  Levadura,  Orégano,  Polifosfato de sodio,  Carbonato de sodio,  L-cisteína",1
438,Helado Trisabor chocolate lúcuma y manjar 2.4 L,https://www.jumbo.cl/helado-bresler-pote-tri-cho-luc-man-2-4l-1860112/p,$4.390,$5.499,Helados Mix Sabores,"Delicioso helado de leche sabor a chocolate, lúcuma y manjar Bresler, un postre clásico que puede servir para cualquier ocasión. Contiene 2.4 litro, lo que alcanza para 24 porciones. Nada como compartir la felicidad con un helado.","Leche descremada reconstituida,  Agua,  Azúcar,  Grasa de palma refinada y desodorizada,  Bht,  Suero de leche en polvo,  Jarabe de glucosa,  Cacao natural en polvo,  Caramelo iv,  Mono y diglicéridos de ácidos grasos,  Grasa de palmiste,  ácido cítrico,  Goma de semilla de algarrobo,  Saborizantes idénticos a natural,  Saborizante artificial,  Goma guar,  Annato,  Carmín de cochinilla,  Carragenina,  Cúrcuma,  Ponceau 4r,  Tartrazina,  Azul brillante fcf",1
439,Helado bresler pote cassata 2.4l,https://www.jumbo.cl/helado-bresler-pote-cassata-2-4l-1860114/p,$4.390,$5.499,Helados Mix Sabores,"Delicioso helado de leche sabor a chocolate, frutilla y vainilla Bresler, un postre clásico que puede servir para cualquier ocasión. Contiene 2.4 litro, lo que alcanza para 24 porciones. Nada como compartir la felicidad con un helado.","Leche descremada reconstituida,  Agua,  Azúcar,  Grasa de palma refinada y desodorizada,  Bht,  Suero de leche en polvo,  Jarabe de glucosa,  Pulpa de frutilla sin pepa,  Cacao natural en polvo,  Mono y diglicéridos de ácidos grasos,  Grasa de palmiste,  ácido cítrico,  Caramelo iv,  Goma de semilla de algarrobo,  Goma guar,  Saborizante idéntico a natural,  Saborizante artificial,  Carragenina,  Cúrcuma,  Ponceau 4r,  Annato,  Tartrazina,  Azul brillante fcf",1
440,Carne molida Alternative 300 g,https://www.jumbo.cl/carne-molida-vegetal-alternative-300-g-1860124/p,NA,$5.999,Chips Vegetales,Delicioso sucedáneo de carne producida en base a ingredientes vegetales. Rico sabor y sin ingredientes de origen animal. ¿Qué mejor?,"Agua,  Gluten de trigo,  Almidón de trigo,  Proteína de haba,  Aceite vegetal de maravilla,  Almidón de maíz,  Rojo de remolacha,  Concentrado de pimentón,  Sal,  Colorante caramelo,  Extracto de cebada malteada,  Extracto de levadura,  Saborizantes naturales,  Metilcelulosa,  Sulfato de calcio,  Metabisulfito de sodio,  Gluten,  Sulfitos",1
441,Burguesa Alternative 500 g,https://www.jumbo.cl/burguesa-veg-alternative-500-g-1860123/p,NA,$5.890,Hamburguesas de Verduras,Deliciosa hamburguesa producida en base a ingredientes vegetales. Rico sabor y sin carne. ¿Qué mejor?,"Agua,  Aceite vegetal de maravilla,  Gluten de trigo,  Almidón de trigo,  Proteína de haba,  Almidón de maíz,  Saborizantes naturales,  Rojo de remolacha,  Concentrado de pimentón,  Extracto de levadura,  Sal,  Extracto de cebada malteada,  Colorante caramelo,  Metilcelulosa,  Sulfato de calcio,  Metabisulfito de sodio,  Gluten,  Sulfitos",1
