,Name,Link,Best price,Normal price,Type of product,Description,Ingredients,Available
247,Helado fudge ripple vainilla chocolate 1.42 L,https://www.jumbo.cl/helado-fudge-ripple-vainilla-chocolate-turkey-hill-1-42-l/p,$4.699,$5.399,Helados Mix Sabores,"Trukey Hill trae los mejores helados con ingredientes naturales. En esta ocasión, un delicioso helado de vainilla con dulce de chocolate.","Leche,  Jarabe de maíz,  Agua,  Cacao,  Azúcar,  Almidón de maíz modificado,  Almidón de maíz,  Cacao procesado con alcali,  Sal,  Carragenina,  Aromatizante natural,  Goma guar,  Crema,  Suero,  Leche descremada,  Gel celulosa,  Goma celulosa,  Saborizante artificial,  Saborizante natural,  Mono y diglicéridos de ácidos grasos",1
248,"Tutitos de pollo Super Pollo, bolsa 500 g",https://www.jumbo.cl/tutitos-de-pollo-crispys-super-pollo-500-g/p,$2.190,$3.049,Pollo,NA,NA,1
249,Gyozas de Camarón 12 un.,https://www.jumbo.cl/gyozas-de-camaron-alimentos-shen-300-g/p,NA,$2.549,Gyosas de Cerdo,Deliciosas empanaditas orientales Gyoza con camarón. Su increíble sabor asiático te encantará. Perfectas para compartir.,"Camarones,  Repollo,  Tocino,  Harina de trigo,  Cebollín,  Cebolla,  Jengibre,  Salsa de soya,  Aceite de sésamo,  Pisco,  Azúcar,  Sal,  Pimienta,  Glutamato de sodio,  Clara de huevo",1
250,Mango Sabor Peruano 500 g,https://www.jumbo.cl/mango-sabor-peruano-500-g/p,NA,$2.139,Mango,"El mango es una fruta tropical, la que es alta en betacaroteno, fibra y vitamina C. Con estas propiedades ayuda aumentar las defensas del organismo, prevenir de esa forma las alergias, mantener el colesterol a niveles normales y disminuir la hipertensión. Además, nos colabora en la prevención de algunos cánceres. Las pulpas son esenciales para hacer zumos de frutas. La pulpa de mango es la fruta molida, la que no pierde los preservantes  ni vitaminas.",Mango,1
251,Fruta congelada limón 750 g,https://www.jumbo.cl/jugo-de-limon-guallarauco-20-sachets-50-g-c-u/p,$4.392,$5.490,Mix de Frutas,"Exquisita fruta cuidadosamente seleccionada, cosechada y congelada en su punto óptimo de madurez. Especial para la preparación de una rica limonada, helados artesanales, tortas, postres, aderezos o tragos. Disfruta de su delicada frescura.",Jugo de limones frescos,1
252,Nuggets de Pollo Receta del Abuelo 1 kg,https://www.jumbo.cl/nuggets-de-pollo-receta-del-abuelo-1-kg/p,NA,$7.790,Nuggets de Pollo,"Deliciosos Nuggets de pollo, auténticas y artesanas de gran sabor para que disfrute toda tu familia, no va a faltar a la hora de almuerzo, para comer de algo rico y fácil de preparar","Carne de pollo,  Agua,  Harina de trigo,  Aceite de maravilla,  Almidón modificado,  Sal,  Aceite de soya,  Proteína de soya,  Maltodextrina,  Polifosfatos de sodio,  Azúcar,  Monoglicéridos de ácidos grasos,  Diglicéridos de ácidos grasos,  Caseína,  Citrato de sodio,  Eritorbato de sodio,  Colorante natural cúrcuma,  Pimienta negra,  Carboximetil celulosa,  Tripolifosfato de sodio,  Glutamato monosódico,  Saborizante natural,  Goma guar,  Bht",1
253,Nuggets de Pollo Receta del Abuelo 400 g,https://www.jumbo.cl/nuggets-de-pollo-receta-del-abuelo-400-g/p,NA,$3.390,Nuggets de Pollo,NA,"Carne de pollo,  Agua,  Harina de trigo,  Aceite de maravilla,  Almidón modificado,  Sal,  Aceite de soya,  Proteína de soya,  Maltodextrina,  Polifosfato de sodio,  Azúcar,  Mono y diglicéridos de ácidos grasos,  Caseína,  Citrato de sodio,  Eritorbato de sodio,  Cúrcuma,  Pimienta negra,  Carboximetil celulosa,  Tripolifosfato de sodio,  Glutamato monosódico,  Saborizante natural,  Goma guar,  Bht,  Gluten,  Leche",1
254,Choclo Sabor Peruano 500 g,https://www.jumbo.cl/choclo-sabor-peruano-bolsa-500-g-congelado-2/p,NA,$3.899,Choclo,"Choclo grano 100% natural y sin preservantes de 500 g. Cosechados en su punto óptimo de maduración, congelados mediante sistema IQF (individual quick frozen) y sometidos a rigurosas selecciones para asegurar la mejor calidad.",Choclo desgranado y precocido,1
255,Zapallo Italiano en rodajas 500 g,https://www.jumbo.cl/zapallo-italiano-minuto-verde-500-g-en-rodajas-congelado-2/p,NA,$2.099,Mix de Verduras,"Zapallo Italiano en rodajas 500 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Zapallo italiano,1
256,Habas peladas 400 g,https://www.jumbo.cl/habas-peladas-minuto-verde-bolsa-400-g-congeladas-premium-2/p,NA,$4.490,Habas,"Habas peladas 400 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Habas congeladas,1
257,Espárragos 350 g,https://www.jumbo.cl/esparragos-minuto-verde-bolsa-350-g-congelado-2/p,NA,$3.290,Espárragos,"Espárragos 350 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Espárragos seleccionados y congelados por sistema iqf,1
258,Diente de Ajo 150 g,https://www.jumbo.cl/diente-de-ajo-minuto-verde-150-g-2/p,NA,$999,Diente de Ajo,"Diente de Ajo 150 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Dientes de ajo,1
259,Champiñones laminados 350 g,https://www.jumbo.cl/champinones-laminados-minuto-verde-envase-350-g-fresco-y-limpio-listo-para-cocinar-2/p,NA,$2.090,Bolsa,"Champiñones laminados 350 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).",Champiñones seleccionados y congelados por sistema iqf,1
260,Tortilla de verdura 110 g,https://www.jumbo.cl/tortilla-de-verdura-la-crianza-110-g/p,$750,$1.090,Tortillas,"Disfruta de un momento exquisito con el pan pita blanco de Ideal, en su formato de ocho unidades. Producto bajo en grasa total, libre de colesterol y libre de grasas trans, especial para compartir en familia.","Choclo,  Zanahoria,  Agua,  Arvejas,  Almidón modificado de papa,  Proteína de soya,  Cebolla,  Fibra de trigo,  Maltodextrina,  Aceite vegetal de maravilla,  Perejil,  Cloruro de magnesio,  Sal,  Extracto de levadura,  Celulosa,  Saborizante idéntico a natural,  Poroto verde",1
261,Ensalada jardinera congelado 500 g,https://www.jumbo.cl/ensalada-mexicana-minuto-verde-bolsa-500-g-congelado-con-pimenton/p,NA,$2.090,Ensaladas,"Ensalada jardinera congelado 500 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).","Choclo en granos,  Zanahoria en cubos,  Arveja,  Pimentón",1
262,Pulpa de Frambuesas doypack 335 g,https://www.jumbo.cl/pulpa-de-frambuesas-minuto-verde-doypack-335-g-2/p,NA,$2.999,Mix de Frutas,"Pulpa de Frambuesas doypack 335 g es ideal para realizar esa rica preparación que tenías en mente. En Minuto Verde elaboramos alimentos saludables, prácticos, ricos y nutritivos. Buscamos permanentemente la innovación y trabajamos con los más altos estándares de calidad Somos una empresa sustentable, respetuosa del medioambiente, entregando a nuestros colaboradores un grato clima laboral, inclusivo y oportunidades de desarrollo profesional. En la actualidad Minuto Verde, marca perteneciente a Alifrut es la compañía que posee la mayor capacidad de producción de hortalizas y frutas congeladas en Latinoamérica. Además de la mayor capacidad de almacenaje en frío del país (-18°C).","Frambuesa,  Azúcar,  Sucralosa",1
263,Fruta congelada maracuyá 500 g,https://www.jumbo.cl/maracuya-guallarauco-500-g-con-pepas-2/p,$3.432,$4.290,Mix de Frutas,"Exquisita fruta cuidadosamente seleccionada y cosechada en su punto óptimo de madurez. Especial para la repostería.Almacenamiento: Congelado. Una vez descongelado, mantener refrigerado hasta 2 días. No volver a congelar.
Duración: 2 años en condiciones de congelación",Maracuyá,1
264,Multipack helados Sabores 24 un. 69 g c/u,https://www.jumbo.cl/helados-trendy-70-cc-cu-caja-24-unid-xl-sabores-naranja-pina-limon-y-tutti-frutti/p,$4.249,$4.999,Helados Mix Sabores,"Deliciosos Helados de Agua Trendy Sabor Frambuesa - Papaya y Limón - Manzana, ideal para refrescar tu tarde y degustar de un rico helado.","Agua,  Azúcar,  Sulfito,  Polidextrosa,  Saborizantes artificiales,  Goma de semilla de algarrobo,  Goma xantán,  Sucralosa,  Acesulfamo potásico,  Tartrazina,  Azorrubina,  Amarillo ocaso,  Azul brillante fcf,  ácido cítrico",1
